unidad;CLUES;idInsti
HOSPITAL GENERAL DR. RUBÉN LEÑERO;DFIMB002020;2
C.S.T-III MANUEL GONZÁLEZ RIVERA;DFIMB002032;2
C.S.T-II DR. MANUEL GUTIÉRREZ ZAVALA;DFIMB002044;2
C.S.T-III LAGO CARDIEL;DFIMB002056;2
C.S.T-III MÉXICO-ESPAÑA;DFIMB002061;2
C.S.T-III DR. ÁNGEL BRÍOSO VASCONCELOS;DFIMB002073;2
CLÍNICA HOSPITAL DE ESPECIALIDADES TOXICOLÓGICAS VENUSTIANO CARRANZA;DFIMB002085;2
HOSPITAL MATERNO INFANTIL INGUARÁN;DFIMB002090;2
HOSPITAL PEDIÁTRICO MOCTEZUMA;DFIMB002102;2
HOSPITAL GENERAL BALBUENA;DFIMB002114;2
C.S.T-I AMPLIACIÓN CARACOL;DFIMB002126;2
C.S.T-I CUATRO ARBOLES;DFIMB002131;2
C.S.T-I RENOVACIÓN;DFIMB002143;2
C.S.T-I REVOLUCIÓN;DFIMB002155;2
C.S.T-II IXNAHUALTONGO;DFIMB002160;2
CENTRO DE SALUD T-III ROMERO RUBIO;DFIMB002172;2
C.S.T-III ARENAL 4TA. SECCIÓN;DFIMB002184;2
C.S.T-II PEÑON DE LOS BAÑOS;DFIMB002196;2
C.S.T-II CUCHILLA PANTITLÁN;DFIMB002201;2
C.S.T-II JOSÉ MARÍA MORELOS Y PAVÓN;DFIMB002213;2
C.S.T-III DR. JUAN DUQUE DE ESTRADA;DFIMB002225;2
C.S.T-III DR. LUIS E. RUÍZ;DFIMB002230;2
C.S.T-III BEATRIZ VELASCO DE ALEMÁN.;DFIMB002242;2
CENTRO DE SALUD T-III BUENAVISTA;DFIMB002254;2
HOSPITAL DE ESPECIALIDADES DE LA CIUDAD DE MEXICO DR. BELISARIO DOMÍNGUEZ;DFIMB002266;2
CLÍNICA COMUNITARIA SANTA CATARINA;DFIMB002271;2
CLÍNICA DE GERIATRIA;DFIMB002283;2
CENTRO DE SALUD T-III DR. SALVADOR ALLENDE CON CLÍNICA DE ESPECIALIDADES;DFIMB002295;2
CLÍNICA ESPECIALIZADA EN EL MANEJO DE LA DIABETES EN LA CIUDAD DE MÉXICO (UNEME-EC);DFIMB002300;2
CENTRO DE SALUD T-III JALALPA EL GRANDE;DFIMB002312;2
HOSPITAL GENERAL TOPILEJO;DFIMB002341;2
HOSPITAL ONCOLÓGICO PARA LA MUJER DE LA CIUDAD DE MÉXICO;DFIMB002353;2
CLÍNICA INTEGRAL DE LA MUJER “HERMILA GALINDO”;DFIMB002370;2
CENTRO DE SALUD T-III VILLA MILPA ALTA;DFIMB002382;2
CENTRO DE SALUD T-I GABRIELA MISTRAL;DFIMB002394;2
CENTRO DE SALUD T-II QUIAHUATLA;DFIMB002406;2
CENTRO ESPECIALIZADO EN MEDICINA INTEGRATIVA ;DFIMB002411;2
CENTRO DE SALUD T-II DEL MAR;DFIMB002423;2
HOSPITAL GENERAL DE CUAJIMALPA  ;DFIMB002435;2
CENTRO DE SALUD T-II TENORIOS  ;DFIMB002440;2
CENTRO DE SALUD T III LOMAS DE LA ERA ;DFIMB002452;2
CENTRO DE SALUD T-II SANTA ROSA XOCHIAC;DFIMB002464;2
CENTRO DE SALUD T I CORPUS CHRISTY ;DFIMB002476;2
CENTRO DE SALUD T-I PEÑÓN VIEJO;DFIMB002481;2
C.S. T-I AMPLIACIÓN TEPEPAN;DFIMB002493;2
C.S.T-I HONORATO LEAL;DFIMB002505;2
